
2025/04/27 (15:56:32) | ===> btop++ v.1.4.0
2025/04/27 (15:56:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/27 (15:56:35) | WARNING: Failed to join _runner thread on exit!

2025/04/27 (15:56:55) | ===> btop++ v.1.4.0
2025/04/27 (15:56:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/27 (16:04:55) | ===> btop++ v.1.4.0
2025/04/27 (16:04:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/27 (16:12:02) | WARNING: Failed to join _runner thread on exit!

2025/04/27 (16:24:16) | ===> btop++ v.1.4.0
2025/04/27 (16:24:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/27 (17:58:19) | ===> btop++ v.1.4.0
2025/04/27 (17:58:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/27 (22:34:50) | ===> btop++ v.1.4.0
2025/04/27 (22:34:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
